"parlparseid","parlparsememberid","firstname","lastname","party","MP position","Constituency position"
"uk.org.publicwhip/person/10630","uk.org.publicwhip/member/40564","Alan","Whitehead","lab",-0.366272196798616,-0.300884261969642
"uk.org.publicwhip/person/10632","uk.org.publicwhip/member/40385","John","Whittingdale","con",1.54942590350563,2.2134299034365
"uk.org.publicwhip/person/10645","uk.org.publicwhip/member/40627","David","Winnick","lab",-1.09519238922859,0.258591506644186
"uk.org.publicwhip/person/10648","uk.org.publicwhip/member/40207","Rosie","Winterton","lab",-0.930223323511172,-0.61891992340182
"uk.org.publicwhip/person/10650","uk.org.publicwhip/member/40063","Mike","Wood","lab",-0.995254128347993,0.548492894980279
"uk.org.publicwhip/person/10651","uk.org.publicwhip/member/40571","Shaun","Woodward","lab",-0.869108711131751,-1.1350928573282
"uk.org.publicwhip/person/10658","uk.org.publicwhip/member/40554","Tim","Yeo","con",0.939642146702776,1.03160525537099
"uk.org.publicwhip/person/10669","uk.org.publicwhip/member/40353","Hilary","Benn","lab",-0.797747169767788,-1.34199501641309
"uk.org.publicwhip/person/10678","uk.org.publicwhip/member/40615","David","Lammy","lab",-0.675002296449071,-1.68881112940104
"uk.org.publicwhip/person/10682","uk.org.publicwhip/member/40488","Mark","Hendrick","lab",-1.08822588958051,-0.790605049666624
"uk.org.publicwhip/person/10683","uk.org.publicwhip/member/40647","Adrian","Bailey","lab",-0.426357766506916,-0.114176234958822
"uk.org.publicwhip/person/10684","uk.org.publicwhip/member/40275","John","Robertson","lab",-0.940415934477765,-1.83854906925103
"uk.org.publicwhip/person/10685","uk.org.publicwhip/member/40255","Eric","Joyce","lab",-0.66824542795283,-1.06539324613904
"uk.org.publicwhip/person/10707","uk.org.publicwhip/member/40549","Richard","Bacon","con",1.16106676642384,1.14841806498083
"uk.org.publicwhip/person/10715","uk.org.publicwhip/member/40059","John","Baron","con",1.59598940274167,1.58435994759505
"uk.org.publicwhip/person/10753","uk.org.publicwhip/member/40148","Kevin","Brennan","lab",-0.74345741449779,-0.310623864340187
"uk.org.publicwhip/person/10754","uk.org.publicwhip/member/40395","Annette","Brooke","lib",0.550113388430309,1.46015054640087
"uk.org.publicwhip/person/10761","uk.org.publicwhip/member/40497","Chris","Bryant","lab",-0.889813896599036,-1.55900474885302
"uk.org.publicwhip/person/10766","uk.org.publicwhip/member/40361","Andy","Burnham","lab",NA,-0.478529068891961
"uk.org.publicwhip/person/10828","uk.org.publicwhip/member/40195","Jon","Cruddas","lab",-0.979559483351592,0.51475427381916
"uk.org.publicwhip/person/10834","uk.org.publicwhip/member/40672","Tony","Cunningham","lab",-0.729857597789549,-0.410679128646072
"uk.org.publicwhip/person/10842","uk.org.publicwhip/member/40137","Wayne","David","lab",-0.742431943499517,-1.01566019614337
"uk.org.publicwhip/person/10882","uk.org.publicwhip/member/40422","Paul","Farrelly","lab",-0.714559870749314,-0.347028321169627
"uk.org.publicwhip/person/10884","uk.org.publicwhip/member/40172","Mark","Field","con",1.47841191862785,1.29841744358038
"uk.org.publicwhip/person/10900","uk.org.publicwhip/member/40034","Hywel","Francis","lab",-1.01144089248749,-1.38617366388465
"uk.org.publicwhip/person/10934","uk.org.publicwhip/member/40402","David","Hamilton","lab",-0.546484183568755,-0.924105748724492
"uk.org.publicwhip/person/10941","uk.org.publicwhip/member/40276","Tom","Harris","lab",-0.793478917421221,-1.42232119236196
"uk.org.publicwhip/person/10944","uk.org.publicwhip/member/40392","Dai","Havard","lab",-1.07096577108283,-1.41144740991388
"uk.org.publicwhip/person/10961","uk.org.publicwhip/member/40050","David","Heyes","lab",-1.05554232676551,-0.336135202928312
"uk.org.publicwhip/person/11003","uk.org.publicwhip/member/40434","Kevan","Jones","lab",-0.786788392603585,-0.770673988413511
"uk.org.publicwhip/person/11026","uk.org.publicwhip/member/40234","Greg","Knight","con",1.25601290346888,0.657623445212231
"uk.org.publicwhip/person/11036","uk.org.publicwhip/member/40680","David","Laws","lib",0.399377687564985,0.600606550008875
"uk.org.publicwhip/person/11038","uk.org.publicwhip/member/40239","Mark","Lazarowicz","lab",-0.80644612257136,-0.739302066078325
"uk.org.publicwhip/person/11048","uk.org.publicwhip/member/40118","Ian","Liddell-Grainger","con",1.43090545295003,0.996812123329385
"uk.org.publicwhip/person/11057","uk.org.publicwhip/member/40675","Ian","Lucas","lab",-0.966871397703507,-0.543110112237908
