Person.ID,First.name,Last.name,Party,Constituency,PCON22CD,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
25862,Brendan,Clarke-Smith,Conservative,Bassetlaw,E14000546,Brendan CLARKE-SMITH (Bassetlaw),0,0,0,0,0
25825,Chris,Clarkson,Conservative,Heywood and Middleton,E14000747,Chris CLARKSON (Heywood and Middleton),0,0,0,0,0
25376,James,Cleverly,Conservative,Braintree,E14000590,James CLEVERLY (Braintree),0,0,0,0,1
10119,Geoffrey,Clifton-Brown,Conservative,The Cotswolds,E14000991,Geoffrey CLIFTON-BROWN (The Cotswolds),0,0,0,0,0
24771,Therese,Coffey,Conservative,Suffolk Coastal,E14000981,Therese COFFEY (Suffolk Coastal),0,0,0,0,1
25907,Elliot,Colburn,Conservative,Carshalton and Wallington,E14000621,Elliot COLBURN (Carshalton and Wallington),0,0,0,0,0
24744,Damian,Collins,Conservative,Folkestone and Hythe,E14000704,Damian COLLINS (Folkestone and Hythe),0,0,0,0,0
25901,Daisy,Cooper,Liberal Democrat,St Albans,E14000960,Daisy COOPER (St Albans),0,0,0,0,0
10131,Yvette,Cooper,Labour,"Normanton, Pontefract and Castleford",E14000836,"Yvette COOPER (Normanton, Pontefract and Castleford)",0,1,0,0,0
10133,Jeremy,Corbyn,Independent,Islington North,E14000763,Jeremy CORBYN (Islington North),1,0,0,0,0
25413,Alberto,Costa,Conservative,South Leicestershire,E14000940,Alberto COSTA (South Leicestershire),0,0,1,0,0
25593,Robert,Courts,Conservative,Witney,E14001046,Robert COURTS (Witney),0,0,0,0,1
25890,Claire,Coutinho,Conservative,East Surrey,E14000681,Claire COUTINHO (East Surrey),0,0,0,0,0
25288,Ronnie,Cowan,Scottish National Party,Inverclyde,S14000038,Ronnie COWAN (Inverclyde),0,0,0,0,0
11541,Geoffrey,Cox,Conservative,Torridge and West Devon,E14001000,Geoffrey COX (Torridge and West Devon),0,0,0,0,0
